Unnamed: 0,Tenure,Gender,EducationLevel,LoanStatus,NetPromoterScore,TransactionFrequency,Surname,Age,Geography,ComplaintsCount,HasCrCard,EstimatedSalary,IsActiveMember,AvgTransactionAmount,CustomerSegment,MaritalStatus,DigitalEngagementScore,ID,CreditScore,SavingsAccountFlag,Balance,NumOfProducts,Exited
15,,Female,University,,8.0,28.0,De Salis,,,,0.0,159508.52,0.0,191.305469040082,,Married,,304.0,605.0,1.0,,,0
16,10.0,,,No loan,,21.0,Ingram,34.0,Spain,0.0,1.0,140509.86,0.0,49.3734828522953,Mass Market,,,,,1.0,,1.0,0
17,5.0,Male,University,No loan,9.0,,Wood,,Germany,,1.0,10078.02,0.0,,,Married,,,634.0,1.0,,1.0,0
18,10.0,Female,,No loan,10.0,31.0,,33.0,,0.0,1.0,140759.03,,136.330910547844,,Married,,5497.0,586.0,1.0,,2.0,0
19,8.0,Male,University,No loan,10.0,22.0,,38.0,Spain,0.0,1.0,38434.73,1.0,97.3909756432833,Mass Market,Married,46.0,3601.0,548.0,1.0,178056.54,2.0,0
20,5.0,Male,Other,Default risk,0.0,17.0,Howell,28.0,,4.0,,,,,,Widowed,55.0,5378.0,678.0,0.0,138668.18,1.0,0
21,,Male,High School,Active loan,,26.0,Solomina,37.0,France,0.0,0.0,84584.69,1.0,,Affluent,,62.0,,627.0,0.0,,1.0,0
22,3.0,Male,Postgraduate,Default risk,1.0,,Robertson,,Spain,2.0,0.0,94488.82,0.0,109.618042482015,High Net Worth,,,,569.0,0.0,,1.0,0
23,6.0,,,No loan,10.0,36.0,Atkinson,,Germany,0.0,1.0,69578.49,,,Mass Market,Married,80.0,2796.0,714.0,,92887.13,1.0,0
24,6.0,,,No loan,9.0,22.0,Butcher,42.0,France,0.0,1.0,153342.38,,236.217805502062,,Married,,3207.0,701.0,1.0,86167.82,1.0,0
25,3.0,,Postgraduate,Active loan,3.0,33.0,Ozerova,52.0,France,1.0,1.0,175843.68,0.0,172.482651879158,High Net Worth,Divorced,28.0,1024.0,691.0,0.0,0.0,,1
26,5.0,Female,,Active loan,5.0,,,48.0,France,0.0,1.0,160529.71,,88.0991998902802,Affluent,Single,,4798.0,469.0,1.0,0.0,1.0,1
27,7.0,Male,University,No loan,9.0,28.0,Kline,,,0.0,0.0,126555.74,0.0,107.524357242795,Mass Market,Married,,736.0,850.0,1.0,80293.98,1.0,0
28,,Male,High School,,,28.0,Wei,30.0,,0.0,,83473.82,,50.8452997294432,Mass Market,Married,40.0,115.0,684.0,,0.0,2.0,0
29,5.0,,High School,No loan,9.0,,Marcelo,24.0,Germany,,1.0,,0.0,,Mass Market,Married,56.0,,,1.0,102773.2,2.0,1
30,,Female,University,,,27.0,,48.0,France,0.0,1.0,85081.09,0.0,122.086035746322,,Married,,3455.0,530.0,1.0,0.0,1.0,0
31,2.0,Female,High School,Active loan,4.0,,Campbell,35.0,Germany,0.0,0.0,198802.9,,107.237801071328,,Single,,5044.0,,0.0,,1.0,0
32,8.0,,,,8.0,25.0,Coates,,France,0.0,0.0,,0.0,113.865201595426,Mass Market,,52.0,6311.0,504.0,1.0,206663.75,1.0,0
33,,Male,University,No loan,10.0,23.0,Landseer,41.0,Germany,0.0,0.0,9201.53,1.0,90.1323744574138,Mass Market,Married,49.0,,579.0,1.0,141749.68,1.0,0
34,,,University,No loan,9.0,23.0,Hill,25.0,,0.0,1.0,22745.5,0.0,60.3287869776042,Mass Market,Married,,,657.0,,171770.55,1.0,0
35,0.0,Female,Postgraduate,,0.0,30.0,Jones,36.0,,,1.0,99019.65,1.0,,,Divorced,51.0,4869.0,,0.0,,,0
36,3.0,Female,University,,,36.0,Tung,34.0,France,,,,0.0,,Mass Market,Married,37.0,5869.0,655.0,1.0,,2.0,0
37,4.0,Female,Postgraduate,Active loan,7.0,,Seabrook,45.0,France,,,60917.24,,70.0206621232026,High Net Worth,Divorced,,618.0,,0.0,45144.43,,1
38,,,,No loan,8.0,,,35.0,Spain,0.0,,,,36.9586661385407,,Married,66.0,6281.0,542.0,,174894.53,1.0,0
39,8.0,Female,High School,Active loan,5.0,33.0,,74.0,Germany,0.0,,66732.63,,106.196070203679,Affluent,Single,84.0,2195.0,546.0,1.0,,2.0,1
40,7.0,Female,University,,,39.0,Forbes,43.0,,0.0,,64679.3,1.0,142.054920623345,Mass Market,Married,75.0,6799.0,682.0,,,2.0,0
41,9.0,Male,University,,8.0,,,67.0,Germany,0.0,1.0,99490.01,1.0,86.6670619301844,Mass Market,Married,35.0,2652.0,689.0,1.0,,1.0,0
42,,Male,Postgraduate,Default risk,1.0,37.0,Kelly,,Spain,,1.0,59601.15,1.0,76.1316844327071,High Net Worth,,74.0,5988.0,612.0,0.0,170288.38,1.0,0
44,9.0,Female,High School,,9.0,33.0,,42.0,France,,,4292.72,,54.8521383968424,Mass Market,Married,,4553.0,674.0,,0.0,2.0,0
45,,Male,Postgraduate,Default risk,1.0,22.0,Mahmood,,,2.0,1.0,,,127.047660290442,High Net Worth,Divorced,57.0,1288.0,,,152759.0,,1
46,7.0,Female,University,No loan,9.0,32.0,Black,44.0,France,0.0,,66548.58,,114.410086618623,,Married,,3749.0,665.0,1.0,0.0,2.0,0
47,,Male,High School,Active loan,6.0,29.0,Scott,29.0,,,1.0,6770.44,1.0,,Affluent,Single,57.0,4149.0,,0.0,0.0,2.0,0
48,1.0,Female,,No loan,8.0,26.0,,38.0,France,0.0,1.0,,0.0,99.828120205706,Mass Market,Married,76.0,1505.0,850.0,1.0,106871.81,2.0,0
49,10.0,Male,University,,8.0,25.0,Chibugo,46.0,Germany,0.0,1.0,73470.98,1.0,115.737571534544,Mass Market,Married,,1936.0,749.0,1.0,123180.01,,0
50,3.0,Male,,Active loan,,26.0,Avdeev,,Spain,0.0,0.0,101617.43,1.0,,Affluent,Single,56.0,,,0.0,106070.89,1.0,0
51,,,,Active loan,6.0,26.0,Nwachinemelu,38.0,France,0.0,0.0,,1.0,188.70064486477,Affluent,Single,32.0,6114.0,565.0,0.0,0.0,2.0,0
52,9.0,,Postgraduate,Active loan,,33.0,Medvedeva,35.0,Spain,,1.0,68141.92,1.0,102.286223230178,,,38.0,6870.0,658.0,,71829.34,1.0,0
53,5.0,Male,High School,No loan,9.0,22.0,,24.0,,0.0,1.0,71638.0,1.0,54.3181823343086,Affluent,,50.0,2379.0,660.0,,,1.0,0
54,0.0,Male,Postgraduate,Active loan,,41.0,,27.0,France,1.0,0.0,151912.49,0.0,83.7029152012867,High Net Worth,Divorced,86.0,,594.0,0.0,,1.0,0
55,8.0,Female,University,No loan,8.0,40.0,Ross,,France,0.0,,196134.44,1.0,61.2605966642263,Mass Market,Married,47.0,1568.0,696.0,1.0,0.0,2.0,0
56,1.0,Female,,No loan,8.0,27.0,Akabueze,40.0,Germany,0.0,1.0,120373.84,1.0,77.9931211594763,,Married,39.0,5236.0,,1.0,,1.0,1
57,,Male,University,No loan,8.0,,Mitchell,38.0,France,0.0,1.0,1299.75,0.0,98.5284858164105,Mass Market,Married,66.0,422.0,700.0,1.0,134811.3,1.0,0
58,10.0,,,No loan,10.0,,,,,0.0,1.0,176730.02,1.0,103.122837929731,Mass Market,,,340.0,631.0,,,1.0,0
59,,Male,,No loan,10.0,29.0,Seccombe,32.0,France,0.0,1.0,,1.0,110.043317587986,,Married,61.0,6651.0,,1.0,177729.13,1.0,0
60,10.0,Male,University,,10.0,,,32.0,Spain,,1.0,159891.03,1.0,134.330657146128,,Married,55.0,,566.0,1.0,,1.0,0
61,,Male,,Active loan,7.0,,,28.0,,,,167973.63,,169.795821278769,Affluent,Single,55.0,935.0,489.0,0.0,79460.98,2.0,0
62,0.0,Male,High School,No loan,9.0,37.0,Heard,28.0,Germany,0.0,1.0,8755.69,,,Mass Market,Married,58.0,2340.0,677.0,,143988.0,2.0,1
63,,Female,,Active loan,3.0,,Lambert,,France,1.0,1.0,,1.0,99.2978450808561,High Net Worth,Divorced,,2697.0,,0.0,0.0,,1
64,1.0,Male,University,No loan,8.0,38.0,Bishop,26.0,,0.0,0.0,121551.93,0.0,87.6356427166289,,Married,39.0,5924.0,514.0,1.0,,2.0,0
65,4.0,Female,University,No loan,8.0,,Tuan,33.0,Spain,0.0,1.0,103931.49,1.0,,Mass Market,,,5959.0,721.0,1.0,72535.45,,0
66,7.0,Male,,No loan,8.0,35.0,Chidimma,42.0,,0.0,1.0,39830.1,,,Mass Market,Married,59.0,,,1.0,,1.0,0
67,,Male,Postgraduate,Default risk,1.0,22.0,,,Germany,2.0,1.0,55775.72,,71.2176817906782,High Net Worth,Divorced,55.0,2175.0,587.0,0.0,132603.36,1.0,0
68,4.0,,,No loan,10.0,22.0,Nicholson,,,,,26920.43,0.0,,Mass Market,Married,38.0,6769.0,,1.0,55776.39,2.0,0
69,,Female,,Active loan,3.0,33.0,Yuan,35.0,Spain,1.0,,106785.7,1.0,115.51157114924,High Net Worth,Divorced,67.0,1622.0,,,147936.42,1.0,0
70,3.0,Female,,No loan,8.0,38.0,Li Fonti,43.0,Spain,0.0,1.0,,0.0,102.807490470432,Mass Market,,60.0,3088.0,616.0,,120867.18,1.0,1
71,3.0,,University,No loan,10.0,32.0,,38.0,Spain,0.0,1.0,126253.31,0.0,125.386598741813,,,59.0,6798.0,678.0,1.0,124483.53,1.0,0
72,3.0,Male,,No loan,8.0,25.0,Blacklock,,,0.0,0.0,124749.08,1.0,,Mass Market,,,1910.0,,1.0,113146.98,,0
73,,Male,,No loan,9.0,42.0,Grant,31.0,France,,,,1.0,50.3711525168882,Mass Market,,,4342.0,593.0,1.0,,2.0,0
74,,,University,,8.0,25.0,Ogle,32.0,,,1.0,,,74.2841742797474,Mass Market,Married,47.0,4087.0,629.0,1.0,0.0,2.0,0
75,0.0,,,,,,Yao,30.0,,,,,1.0,74.6302290740336,Affluent,Single,56.0,4658.0,525.0,1.0,157989.21,2.0,0
76,9.0,Male,Postgraduate,Default risk,1.0,36.0,,31.0,Germany,,,,1.0,114.986746542247,High Net Worth,Divorced,55.0,,551.0,0.0,,,0
77,6.0,Female,High School,Active loan,,30.0,,52.0,Germany,,,38984.37,,101.459125745881,Affluent,Single,,6509.0,,0.0,71283.09,2.0,0
78,4.0,Male,University,No loan,9.0,,Turnbull,40.0,France,0.0,1.0,100433.83,1.0,55.0620792725163,Mass Market,Married,68.0,325.0,501.0,,125832.2,1.0,0
79,,,High School,Active loan,5.0,37.0,Tung,40.0,France,,0.0,,0.0,59.6582103224382,Affluent,Single,59.0,4597.0,710.0,1.0,,2.0,0
80,1.0,Male,,,10.0,26.0,Narelle,40.0,Spain,,1.0,193321.3,,33.6590250037629,Mass Market,Married,35.0,1537.0,739.0,,,1.0,0
81,5.0,Male,Postgraduate,Active loan,3.0,28.0,Benson,22.0,France,1.0,0.0,,1.0,48.3561189384351,,,51.0,,750.0,,0.0,2.0,0
82,7.0,Female,University,No loan,10.0,26.0,,,Spain,0.0,,111421.77,,,Mass Market,Married,73.0,1334.0,535.0,1.0,115309.75,1.0,0
83,9.0,Male,University,No loan,9.0,26.0,Hs?eh,37.0,France,0.0,1.0,113926.31,0.0,73.0767791345908,Mass Market,Married,66.0,,650.0,,138162.41,2.0,0
84,1.0,,,,5.0,,Abernathy,36.0,Spain,,1.0,102021.39,,230.903332480485,,Single,,6574.0,,1.0,,,0
85,9.0,Male,High School,,,36.0,Aldridge,44.0,Spain,,1.0,,,60.4897546142669,,,63.0,6977.0,,1.0,,2.0,0
86,1.0,Male,Other,Default risk,0.0,30.0,,48.0,,3.0,0.0,,0.0,276.475855506388,High Net Worth,Widowed,,,543.0,,,1.0,1
87,9.0,Female,University,No loan,8.0,34.0,Stout,,France,0.0,0.0,69829.4,,,,Married,46.0,427.0,687.0,1.0,0.0,1.0,0
88,,Male,,Active loan,4.0,32.0,,40.0,,,,,0.0,,,,64.0,6249.0,850.0,0.0,124788.18,1.0,0
89,6.0,,,,,26.0,Vasiliev,28.0,Spain,0.0,1.0,14665.28,,70.5336854380158,Mass Market,Married,58.0,5329.0,,,0.0,2.0,0
90,1.0,Male,Postgraduate,Default risk,1.0,,Soto,38.0,,2.0,0.0,,,104.303806901833,High Net Worth,Divorced,55.0,3702.0,,0.0,0.0,2.0,0
91,6.0,Male,Postgraduate,,7.0,26.0,Pan,35.0,Germany,2.0,1.0,129964.94,0.0,89.2983780132789,High Net Worth,Divorced,80.0,504.0,634.0,0.0,,1.0,0
92,,Male,,No loan,,,Finch,36.0,,,,49653.37,1.0,94.0547431890375,,Married,40.0,,,1.0,155176.83,2.0,0
93,1.0,Male,High School,Active loan,6.0,31.0,Maclean,29.0,France,,0.0,196474.35,1.0,98.0759809346926,,,71.0,720.0,645.0,0.0,130131.08,2.0,0
94,,Female,,Default risk,0.0,29.0,Mironova,40.0,Germany,2.0,1.0,151167.94,,,High Net Worth,Divorced,49.0,1629.0,,0.0,106756.01,2.0,0
95,7.0,Female,Postgraduate,Active loan,,39.0,Lin,54.0,,,,172586.89,0.0,,,,42.0,1669.0,648.0,0.0,118241.02,1.0,1
96,,,,Active loan,,23.0,Adams,,France,0.0,,80262.91,1.0,50.1024124846558,Affluent,,59.0,4135.0,547.0,,,1.0,0
97,4.0,,Postgraduate,,,,Hawkins,29.0,France,1.0,1.0,,0.0,364.059368424988,High Net Worth,Divorced,99.0,123.0,,0.0,,1.0,0
98,9.0,Male,,No loan,10.0,44.0,Chinomso,39.0,Spain,0.0,,100862.36,1.0,160.911744855421,Mass Market,,78.0,3315.0,622.0,1.0,0.0,2.0,0
99,,Male,University,No loan,10.0,24.0,Lascelles,25.0,France,,1.0,,0.0,115.762233359881,,Married,,6792.0,,1.0,77886.53,2.0,0
100,,Male,,Active loan,3.0,,Barnes,35.0,France,,1.0,84199.78,,85.3575142689584,High Net Worth,,54.0,3619.0,676.0,0.0,106836.67,,0
101,2.0,Male,University,No loan,8.0,,Ho,34.0,France,0.0,,,,109.844573055782,Mass Market,Married,,4758.0,444.0,1.0,144318.97,1.0,0
102,,,,No loan,,26.0,Chou,34.0,Germany,0.0,,,1.0,50.6750766771415,,,70.0,1439.0,,1.0,120018.86,2.0,0
103,3.0,Female,,No loan,,36.0,Sopuluchukwu,25.0,France,0.0,1.0,,0.0,182.738335740506,Affluent,Single,,6826.0,677.0,1.0,0.0,2.0,0
104,9.0,,,Active loan,,29.0,Ford,35.0,France,,0.0,,0.0,62.3928170763447,,Single,49.0,,636.0,0.0,95478.17,1.0,0
105,6.0,,University,No loan,,22.0,Greathouse,57.0,France,,1.0,133537.53,1.0,137.167733989635,Mass Market,Married,60.0,,548.0,,76165.65,,0
106,,Male,High School,Active loan,5.0,33.0,He,30.0,,,,180591.32,1.0,47.7236463528399,Affluent,,54.0,6068.0,811.0,1.0,0.0,2.0,0
107,1.0,Male,Postgraduate,Active loan,1.0,28.0,,,Spain,1.0,1.0,21768.21,1.0,151.084403412692,High Net Worth,,90.0,5809.0,671.0,0.0,,,0
108,9.0,Female,High School,Active loan,6.0,37.0,Ferrari,38.0,France,0.0,,93261.69,1.0,56.5532375426721,Affluent,Single,30.0,2908.0,810.0,,,1.0,0
109,2.0,Female,High School,Active loan,4.0,29.0,Samaniego,68.0,,0.0,0.0,,0.0,77.7279811630082,Affluent,Single,54.0,,,0.0,183555.24,1.0,1
110,7.0,Female,,Active loan,6.0,17.0,Nucci,,Spain,,0.0,137791.18,0.0,195.338915585271,,,,,614.0,0.0,,2.0,0
111,,Female,Postgraduate,,3.0,,Volkova,23.0,France,1.0,,,1.0,170.202830888622,,Divorced,87.0,3326.0,756.0,,112568.31,1.0,0
112,8.0,Male,Postgraduate,Active loan,1.0,25.0,,44.0,,1.0,1.0,,1.0,97.3226395752752,,Divorced,44.0,1765.0,695.0,0.0,,,0
113,,Female,Postgraduate,Active loan,3.0,36.0,Onyekaozulu,28.0,Spain,1.0,1.0,,,,High Net Worth,Divorced,,1305.0,639.0,0.0,97840.72,,0
114,0.0,,University,No loan,8.0,31.0,Summerville,36.0,France,0.0,1.0,38772.65,1.0,145.87586195312,Mass Market,Married,54.0,2058.0,558.0,1.0,126606.63,2.0,0
115,1.0,,University,No loan,,32.0,Nebeolisa,32.0,Germany,,1.0,127443.82,1.0,,Mass Market,,72.0,2061.0,699.0,1.0,123906.22,,1
116,4.0,Male,,No loan,10.0,28.0,Hayes,,Germany,0.0,1.0,104189.46,,157.201641195163,,Married,,,,1.0,70362.52,2.0,0
117,2.0,Female,University,No loan,,23.0,Chinagorom,45.0,France,0.0,1.0,,1.0,,Mass Market,Married,78.0,490.0,,1.0,109730.22,1.0,0
118,,Male,University,No loan,10.0,17.0,,26.0,Germany,0.0,1.0,74425.41,,73.5367636996672,Mass Market,Married,43.0,4851.0,850.0,,123126.29,1.0,0
119,1.0,,,,4.0,30.0,More,42.0,Spain,0.0,,,,60.2431918389144,Affluent,,60.0,5867.0,602.0,,138912.17,1.0,0
120,,Male,,No loan,,27.0,Yermakov,27.0,France,0.0,0.0,,0.0,,Mass Market,,68.0,1682.0,623.0,1.0,120509.81,1.0,0
121,,Male,,No loan,10.0,,,49.0,France,0.0,1.0,148804.36,0.0,133.598267297297,,Married,47.0,1212.0,,,121973.28,,0
122,8.0,Male,University,No loan,,40.0,Thornton,,Spain,0.0,1.0,,,,Mass Market,Married,,5060.0,707.0,1.0,,1.0,1
123,4.0,Male,High School,Active loan,,28.0,Storey,25.0,Germany,0.0,1.0,,1.0,,Affluent,,42.0,4655.0,643.0,1.0,115142.9,1.0,0
124,8.0,Male,High School,,6.0,33.0,,24.0,Spain,0.0,,4070.28,0.0,,,,83.0,5185.0,742.0,,,,0
125,3.0,Male,High School,Active loan,6.0,30.0,Padovano,,France,,1.0,106197.44,0.0,139.884099276362,Affluent,Single,68.0,6520.0,562.0,,0.0,,0
126,5.0,Male,High School,,4.0,31.0,Tan,44.0,,0.0,1.0,128046.98,0.0,74.2881477485635,Affluent,Single,79.0,1648.0,,0.0,0.0,,0
127,,Male,University,No loan,10.0,,Crawford,29.0,Spain,0.0,1.0,128077.8,,342.465233382768,Mass Market,Married,,,,,61710.44,,0
128,0.0,Male,High School,No loan,,28.0,,35.0,Germany,,,145325.32,,,Affluent,,41.0,,837.0,1.0,,1.0,0
129,8.0,Male,,,4.0,34.0,Onuchukwu,25.0,Spain,,1.0,,1.0,196.711231449506,Affluent,,23.0,,792.0,,,1.0,0
130,,Male,,No loan,,,Hung,40.0,Spain,0.0,1.0,,1.0,72.0057862440666,,,20.0,409.0,848.0,,110929.96,1.0,0
131,,Male,High School,Active loan,6.0,29.0,Ch'en,,Spain,0.0,0.0,19233.41,1.0,,Affluent,,69.0,2883.0,738.0,0.0,177997.07,1.0,0
132,2.0,,,No loan,,,Haugh,40.0,Germany,0.0,,46415.09,,,Mass Market,,,2653.0,796.0,,,2.0,0
133,1.0,Male,High School,,9.0,30.0,Rose,38.0,France,0.0,1.0,122379.54,,,Mass Market,,51.0,6086.0,706.0,1.0,0.0,2.0,0
134,,Male,Other,Default risk,0.0,29.0,Gordon,,France,3.0,0.0,183682.09,0.0,,High Net Worth,Widowed,,,786.0,0.0,137361.96,1.0,0
135,8.0,Female,University,No loan,,37.0,Scott,35.0,Germany,,1.0,189339.6,,44.4404064779734,,Married,,265.0,460.0,1.0,102742.91,2.0,0
136,4.0,Male,,Active loan,5.0,26.0,,,,0.0,,,1.0,66.6566967634053,,,58.0,,603.0,1.0,98899.76,,0
137,1.0,Male,Postgraduate,,1.0,31.0,,35.0,Spain,2.0,0.0,174770.14,,105.765231380132,High Net Worth,Divorced,,,,,,,1
138,4.0,Male,,Default risk,1.0,,Bagley,37.0,France,2.0,,198252.88,,93.7513861516697,High Net Worth,Divorced,58.0,162.0,670.0,,170557.91,2.0,0
139,8.0,,High School,,,29.0,Trevisani,41.0,Germany,0.0,0.0,20491.15,,296.842081525624,Mass Market,Married,73.0,,521.0,1.0,,1.0,0
140,6.0,,University,,9.0,26.0,Lu,27.0,Spain,0.0,,172031.22,1.0,59.1872278392739,Mass Market,Married,63.0,6160.0,600.0,1.0,0.0,2.0,0
141,7.0,Male,University,No loan,10.0,32.0,Li Fonti,28.0,France,,1.0,122190.22,0.0,,Mass Market,,,5369.0,418.0,1.0,98738.92,1.0,0
142,,Male,University,,,32.0,Chiedozie,23.0,Spain,0.0,1.0,,1.0,,Mass Market,Married,77.0,5948.0,595.0,,0.0,,0
143,10.0,,University,No loan,9.0,22.0,Vasilieva,38.0,Spain,0.0,0.0,153015.42,0.0,,Mass Market,Married,64.0,1760.0,711.0,1.0,0.0,2.0,0
144,4.0,Male,Postgraduate,Active loan,,27.0,Thorpe,26.0,France,1.0,1.0,,0.0,,,Divorced,,1530.0,646.0,,139848.17,,0
145,8.0,Male,University,No loan,10.0,14.0,Piccio,,,,1.0,159254.29,0.0,,Mass Market,Married,69.0,802.0,546.0,1.0,,1.0,0
146,8.0,,,,,24.0,Udinese,56.0,France,0.0,,29880.99,0.0,43.6536842480837,Mass Market,Married,64.0,,793.0,,,,0
147,,Male,Other,Default risk,0.0,29.0,Chien,45.0,France,3.0,0.0,17622.82,0.0,101.995991929684,High Net Worth,Widowed,37.0,1852.0,603.0,0.0,,2.0,0
148,3.0,Female,Postgraduate,Active loan,3.0,32.0,,39.0,France,1.0,1.0,,0.0,,,,,3029.0,,0.0,118336.14,1.0,0
149,1.0,Female,University,No loan,8.0,24.0,,64.0,Spain,,1.0,41800.18,1.0,198.485835272273,Mass Market,Married,49.0,3203.0,647.0,,91216.0,1.0,0
150,5.0,Male,University,No loan,8.0,25.0,Lin,37.0,France,0.0,1.0,77414.45,1.0,63.7455469425452,Mass Market,Married,,1179.0,513.0,1.0,,2.0,0
151,9.0,Male,High School,Active loan,,37.0,,56.0,France,0.0,0.0,39488.04,0.0,95.3570108041784,Affluent,Single,38.0,4717.0,,0.0,142147.32,1.0,1
152,,Female,,,,42.0,Power,30.0,,0.0,1.0,19500.1,0.0,,,,,6702.0,710.0,,,,0
153,9.0,,University,No loan,,,Woods,,France,0.0,,137835.82,1.0,,,Married,72.0,,,1.0,122550.05,2.0,0
154,1.0,Male,University,No loan,,27.0,Ponce,35.0,,0.0,1.0,152541.89,0.0,,,Married,,4526.0,603.0,1.0,123407.69,1.0,1
155,8.0,,,,9.0,26.0,,27.0,Spain,0.0,1.0,188007.99,1.0,60.1389851224241,Mass Market,Married,48.0,2655.0,663.0,1.0,,1.0,0
156,1.0,,,,8.0,24.0,,,Spain,,,,,72.7244977911577,Mass Market,Married,67.0,,553.0,1.0,142876.98,2.0,0
157,,,University,No loan,10.0,28.0,Hao,36.0,,0.0,,160696.72,,,Mass Market,Married,72.0,,,1.0,0.0,1.0,0
158,5.0,Female,University,No loan,8.0,30.0,,50.0,,0.0,,192146.63,1.0,55.7398027338432,Mass Market,Married,82.0,,579.0,,117721.02,1.0,1
160,7.0,Female,High School,,5.0,30.0,Volkova,33.0,France,0.0,1.0,136540.09,0.0,64.0537955212228,,Single,49.0,6729.0,,1.0,89939.62,1.0,0
161,3.0,Female,University,No loan,10.0,34.0,Simpkinson,48.0,Germany,0.0,1.0,131647.31,1.0,147.334512187635,Mass Market,Married,57.0,1085.0,546.0,1.0,132837.7,1.0,0
162,6.0,Male,,Active loan,4.0,30.0,,35.0,France,0.0,,176962.31,0.0,171.581219619005,Affluent,Single,76.0,1509.0,690.0,0.0,,1.0,0
163,,Male,High School,Active loan,6.0,33.0,,,France,0.0,1.0,176728.28,0.0,175.671348306561,,Single,71.0,762.0,543.0,0.0,0.0,,0
164,3.0,Male,,No loan,,37.0,Aleshire,,,0.0,,,1.0,140.650032228092,Mass Market,Married,70.0,137.0,,1.0,,1.0,0
165,5.0,,Postgraduate,Active loan,3.0,29.0,Brookes,38.0,Germany,1.0,,71905.77,0.0,,High Net Worth,,55.0,338.0,,,130878.75,3.0,1
166,6.0,Male,University,,,34.0,Ts'ai,24.0,Germany,,,169505.83,1.0,,Mass Market,Married,,3135.0,479.0,1.0,107637.97,2.0,0
167,,Male,,No loan,10.0,25.0,,38.0,,0.0,1.0,99106.97,0.0,124.632271859076,Mass Market,Married,72.0,3285.0,589.0,1.0,92219.21,1.0,0
168,8.0,,,No loan,9.0,22.0,Crawford,,France,0.0,1.0,121904.44,0.0,77.6263020248394,,Married,,3865.0,,,,1.0,0
169,4.0,Male,University,No loan,10.0,32.0,,30.0,Spain,,1.0,,0.0,236.855022965346,Mass Market,Married,65.0,4725.0,,1.0,125385.01,1.0,0
170,10.0,,,Active loan,6.0,,Yang,32.0,Spain,0.0,1.0,22487.45,1.0,42.7258092667604,Affluent,Single,58.0,5025.0,665.0,,,1.0,0
171,7.0,Male,High School,No loan,,21.0,Ferri,,France,0.0,0.0,140130.22,1.0,130.696810102282,Affluent,Single,,4690.0,565.0,1.0,135369.71,1.0,0
172,7.0,Male,,,8.0,27.0,Collier,34.0,France,,,56646.28,1.0,,Mass Market,Married,89.0,5294.0,626.0,1.0,,,0
173,,Female,,Default risk,1.0,31.0,Chigozie,36.0,Germany,2.0,,33075.24,0.0,92.4322082457552,,Divorced,86.0,5717.0,,0.0,68806.84,1.0,0
174,7.0,Male,University,No loan,10.0,40.0,Watson,47.0,,,0.0,157959.02,1.0,232.8583365047,,Married,,155.0,668.0,1.0,106854.21,1.0,1
